intent,slicing_operation,technique,task,run,file
We are launching a private 5G deployment for a logistics warehouse and need a dedicated slice provisioned before Monday.,slice_allocation,intent_classification_utility,task_1,1,task_1_single_intent_classification_utility_1.json
Set up a new network slice to support the upcoming 4K broadcast streaming event at the national stadium.,slice_allocation,intent_classification_utility,task_1,1,task_1_single_intent_classification_utility_1.json
The mining company contract is live. Provision the agreed slice for their autonomous vehicle fleet.,slice_allocation,intent_classification_utility,task_1,1,task_1_single_intent_classification_utility_1.json
Our new enterprise customer requires isolated network resources for their remote surgery pilot. Please arrange accordingly.,slice_allocation,intent_classification_utility,task_1,1,task_1_single_intent_classification_utility_1.json
Bring up a slice for the public safety communications team ahead of the national summit next week.,slice_allocation,intent_classification_utility,task_1,1,task_1_single_intent_classification_utility_1.json
We need to onboard the port authority onto their own dedicated slice as agreed in the SLA.,slice_allocation,intent_classification_utility,task_1,1,task_1_single_intent_classification_utility_1.json
Spin up a slice for the drone delivery trial starting tomorrow in the eastern district.,slice_allocation,intent_classification_utility,task_1,1,task_1_single_intent_classification_utility_1.json
The festival contract ended last night. Release the resources that were set aside for it.,slice_deallocation,intent_classification_utility,task_1,1,task_1_single_intent_classification_utility_1.json
We no longer need the trial slice that was created for the automotive customer evaluation. Please clean it up.,slice_deallocation,intent_classification_utility,task_1,1,task_1_single_intent_classification_utility_1.json
Decommission the emergency response slice that was spun up during the flood event. The situation has been resolved.,slice_deallocation,intent_classification_utility,task_1,1,task_1_single_intent_classification_utility_1.json
The temporary pilot for the retail chain has concluded. Tear down the associated slice and return all capacity.,slice_deallocation,intent_classification_utility,task_1,1,task_1_single_intent_classification_utility_1.json
Smart grid testing is complete. Shut down the slice and free up the spectrum resources.,slice_deallocation,intent_classification_utility,task_1,1,task_1_single_intent_classification_utility_1.json
We are discontinuing the telemedicine slice for the clinic that cancelled its contract.,slice_deallocation,intent_classification_utility,task_1,1,task_1_single_intent_classification_utility_1.json
Pull up the full inventory of active slices across all sites.,slice_list,intent_classification_utility,task_1,1,task_1_single_intent_classification_utility_1.json
I need to see what slices are currently running before we proceed with the capacity audit.,slice_list,intent_classification_utility,task_1,1,task_1_single_intent_classification_utility_1.json
Generate a report of all instantiated slices along with their current throughput and availability status.,slice_list,intent_classification_utility,task_1,1,task_1_single_intent_classification_utility_1.json
Can you give me an overview of which slices are live right now?,slice_list,intent_classification_utility,task_1,1,task_1_single_intent_classification_utility_1.json
Show me the current slice catalog so I can confirm what is deployed per region.,slice_list,intent_classification_utility,task_1,1,task_1_single_intent_classification_utility_1.json
How many slices do we have running across the northern gNodeBs?,slice_list,intent_classification_utility,task_1,1,task_1_single_intent_classification_utility_1.json
