intent,slicing_operation,technique,task,run,file
The NOC dashboard is showing elevated backhaul utilization in the southern region. Has a link failed?,other,intent_classification_utility,task_1,1,task_1_intent_classification_utility_1.json
Too many simultaneous RRC connections are overloading the base stations. Cap the number of connected users for the mass-market slice.,slice_rrc_con_update,intent_classification_utility,task_1,1,task_1_intent_classification_utility_1.json
The broadcast slice used during the political summit is no longer needed; please decommission it.,slice_deallocation,intent_classification_utility,task_1,1,task_1_intent_classification_utility_1.json
Decommission the trial slice that was created for the university lab. The pilot phase has officially ended.,slice_deallocation,intent_classification_utility,task_1,1,task_1_intent_classification_utility_1.json
"The military drill requires a secure, dedicated slice on the base stations covering the exercise area.",slice_allocation,intent_classification_utility,task_1,1,task_1_intent_classification_utility_1.json
I need to audit our slice portfolio before the capacity planning meeting — show me everything we have deployed.,slice_list,intent_classification_utility,task_1,1,task_1_intent_classification_utility_1.json
The signaling load from the sensor slice is saturating the control plane. Reduce the maximum attached users on that slice at the base station level.,slice_rrc_con_update,intent_classification_utility,task_1,1,task_1_intent_classification_utility_1.json
The broadcasting slice is getting squeezed on radio resources during primetime — please give it a larger share.,slice_rb_update,intent_classification_utility,task_1,1,task_1_intent_classification_utility_1.json
Raise the concurrent bearer allowance for the emergency services slice ahead of the national drill tomorrow.,slice_pdu_session_quota_update,intent_classification_utility,task_1,1,task_1_intent_classification_utility_1.json
The public safety team needs a reserved network segment operational before the festival weekend.,slice_allocation,intent_classification_utility,task_1,1,task_1_intent_classification_utility_1.json
A drone delivery operator wants to onboard their fleet management platform onto our network infrastructure.,slice_allocation,intent_classification_utility,task_1,1,task_1_intent_classification_utility_1.json
"During the national emergency exercise, the public safety slice must support more simultaneous RRC connections at all gNBs.",slice_rrc_con_update,intent_classification_utility,task_1,1,task_1_intent_classification_utility_1.json
The private network for the university campus needs to accommodate more endpoints after the new lab opened.,slice_ue_quota_update,intent_classification_utility,task_1,1,task_1_intent_classification_utility_1.json
Can you enumerate the active NSIs in the eastern region for the audit team?,slice_list,intent_classification_utility,task_1,1,task_1_intent_classification_utility_1.json
